"run","tick","Human Count","Zombie Count"
1,1.0,196,14
1,2.0,194,16
1,3.0,193,17
1,4.0,193,17
1,5.0,190,20
1,6.0,190,20
1,7.0,190,20
1,8.0,188,22
1,9.0,187,23
1,10.0,186,24
1,11.0,184,26
1,12.0,184,26
1,13.0,183,27
1,14.0,182,28
1,15.0,180,30
1,16.0,176,34
1,17.0,175,35
1,18.0,174,36
1,19.0,174,36
1,20.0,171,39
2,1.0,198,13
2,2.0,197,14
2,3.0,196,15
2,4.0,193,18
2,5.0,192,19
2,6.0,192,19
2,7.0,190,21
2,8.0,189,22
2,9.0,189,22
2,10.0,188,23
2,11.0,186,25
2,12.0,185,26
2,13.0,184,27
2,14.0,183,28
2,15.0,181,30
2,16.0,178,33
2,17.0,176,35
2,18.0,175,36
2,19.0,175,36
2,20.0,173,38
3,1.0,196,16
3,2.0,194,18
3,3.0,192,20
3,4.0,191,21
3,5.0,188,24
3,6.0,187,25
3,7.0,187,25
3,8.0,187,25
3,9.0,185,27
3,10.0,183,29
3,11.0,182,30
3,12.0,181,31
3,13.0,181,31
3,14.0,181,31
3,15.0,179,33
3,16.0,178,34
3,17.0,177,35
3,18.0,174,38
3,19.0,171,41
3,20.0,169,43
4,1.0,197,16
4,2.0,195,18
4,3.0,195,18
4,4.0,194,19
4,5.0,192,21
4,6.0,190,23
4,7.0,189,24
4,8.0,186,27
4,9.0,185,28
4,10.0,184,29
4,11.0,183,30
4,12.0,182,31
4,13.0,180,33
4,14.0,179,34
4,15.0,177,36
4,16.0,175,38
4,17.0,171,42
4,18.0,170,43
4,19.0,169,44
4,20.0,167,46
5,1.0,195,19
5,2.0,193,21
5,3.0,192,22
5,4.0,191,23
5,5.0,190,24
5,6.0,189,25
5,7.0,188,26
5,8.0,185,29
5,9.0,184,30
5,10.0,182,32
5,11.0,181,33
5,12.0,181,33
5,13.0,179,35
5,14.0,178,36
5,15.0,177,37
5,16.0,176,38
5,17.0,174,40
5,18.0,171,43
5,19.0,168,46
5,20.0,166,48
6,1.0,196,19
6,2.0,193,22
6,3.0,190,25
6,4.0,189,26
6,5.0,189,26
6,6.0,188,27
6,7.0,186,29
6,8.0,183,32
6,9.0,182,33
6,10.0,180,35
6,11.0,179,36
6,12.0,179,36
6,13.0,176,39
6,14.0,170,45
6,15.0,169,46
6,16.0,168,47
6,17.0,165,50
6,18.0,163,52
6,19.0,161,54
6,20.0,158,57
