Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Seen Panic Proportion,Bank Total Assets After Initial Withdrawals,Bank Net Worth
0.668790623,0.588790623,0.367545849,215192.1987,66875.38206,1.449840144,0.462499715,61548.84049,0.368097466,499096.4256,178604.9294,219684.8962,279411.5295,75,242870.2342,0.395875244,19.33333333,15144.13532,0,0.262688297,499096.4256,320491.4962
0.5,0.49,0.37,886731.5016,240857.6755,2.34,0.46,78407.19364,0.04,922861.3171,999784.394,153630.5478,769230.7692,9,1183430.391,0.04,100,10781.91588,0,0.239928571,922861.3171,-76923.07692
0.814814815,0.814814815,0.537037037,811868.7532,240740.3522,3.740740741,0.537037037,354993.5372,0.296296296,335030.4416,238855.0349,181399.8938,153630.5478,21,753661.7761,0.296296296,54,10997.19578,0,0.401536046,335030.4416,96175.40675
0.461538462,0.461538462,0.346153846,264906.2971,96607.38146,2.423076923,0.384615385,30881.9182,0.076923077,505871.5511,382384.4081,324471.6573,181399.8938,33,262065.8911,0.076923077,26,15894.85871,0,0.259066319,505871.5511,123487.143
0.75,0.75,0.5,266115.9824,85478.40966,1.625,0.5625,94496.6021,0.4375,293683.1429,143118.5496,0,293683.1429,45,231430.8383,0.4375,16,14850.94698,0,0.359375625,293683.1429,150564.5933
0.818181818,0.818181818,0.545454545,153999.2107,23171.7194,2.545454545,0.727272727,60333.3019,0.454545455,316023.3787,70691.12972,316023.3787,0,57,212848.2032,0.454545455,11,11911.31197,0,0.282829192,316023.3787,245332.249
0.714285714,0.714285714,0.428571429,64362.4068,28433.66783,1.857142857,0.428571429,27618.97945,0.428571429,303681.215,66851.5041,0,303681.215,69,86019.57365,0.428571429,7,13495.78336,0,0.30952381,303681.215,236829.7108
0.8,0.6,0.6,19622.42988,26575.07965,1.2,0.2,43282.38085,0.6,402676.4622,52985.89647,402676.4622,0,81,21718.04449,0.6,5,19253.65546,0,0.3,402676.4622,349690.5658
0.5,0.25,0.25,3648.254437,14796.00234,0.5,0.25,14355.71949,0.25,433914.9608,91491.00281,31238.49861,402676.4622,93,26468.62629,0.25,4,26461.68057,0,0.166666667,433914.9608,342423.958
0.666666667,0.666666667,0.333333333,72152.32516,22723.70421,0.666666667,1,826.2752784,0.333333333,536362.6649,44621.13308,505124.1663,31238.49861,105,90547.82574,0.666666667,3,15149.13612,0,0.333333333,536362.6649,491741.5319
1,0.5,0.5,32385.80121,23120.5922,0.5,0.5,26876.75639,1,497107.8355,-1.91E-09,0,497107.8355,117,25699.7478,1,2,13438.3782,0,0.5,497107.8355,497107.8355
0.5,0.5,0,2.00E-04,1.00E-04,0,0,6513.421361,0.5,720289.9885,24339.0189,720289.9885,0,129,-3975.683871,0.5,2,15426.22013,0,0,720289.9885,695950.9696
0.5,0.5,0,6513.421561,1.00E-04,0,0.5,0,0,721654.1492,28137.08145,1364.160663,720289.9885,141,24527.57714,0,2,14068.54073,0,0,721654.1492,693517.0678
