"run","PlaceInLine","PanicFlag","PanicPanic","LiquidityPanic","PartialShock","PurePanic","NeighborPanicCount","OthersConsumption","tick"
1,74,"true","false","true","true","true",7,1.091478578387832E7,8.0
1,85,"true","true","true","true","true",6,1.0414924824219111E7,8.0
1,66,"true","true","true","true","true",7,1.2561524014009824E7,8.0
1,45,"true","true","true","true","true",4,7464823.019831549,8.0
1,93,"true","true","true","true","true",10,1.4240745892172188E7,8.0
1,59,"true","true","true","true","true",7,1.1757484130599415E7,8.0
1,9,"true","true","true","true","true",2,9294971.469409429,8.0
1,76,"true","true","true","true","true",10,1.4240745892172188E7,8.0
1,46,"true","true","true","true","true",4,1.054502342476838E7,8.0
1,84,"true","true","true","true","true",10,1.4165799761414498E7,8.0
1,83,"true","true","true","true","true",7,1.2577468921152638E7,8.0
1,55,"true","true","true","true","true",3,1.0303755038585903E7,8.0
1,8,"true","false","true","true","true",2,1.0481196266755994E7,8.0
1,21,"true","true","true","true","true",3,9626274.987711882,8.0
1,34,"true","false","true","true","true",2,1.0422780285844423E7,8.0
1,62,"true","true","true","true","true",4,8183637.621327335,8.0
1,29,"true","true","true","true","true",2,7627419.380072502,8.0
1,47,"true","true","true","true","true",5,1.1706461673973612E7,8.0
1,20,"false","false","false","false","false",3,8966989.164370302,8.0
1,91,"true","true","true","true","true",8,1.2365013786388868E7,8.0
1,24,"true","false","true","true","true",0,5873240.1811791975,8.0
1,40,"true","false","true","true","true",2,8588635.132160068,8.0
1,51,"true","true","true","true","true",6,1.0340904154557964E7,8.0
1,96,"false","false","false","true","false",0,1.0E-4,8.0
1,99,"true","true","true","true","true",7,1.245459698494383E7,8.0
1,52,"true","true","true","true","true",5,1.1670143824719902E7,8.0
1,98,"true","true","true","true","true",9,1.2749219785373049E7,8.0
1,89,"true","true","true","true","true",10,1.418636007462182E7,8.0
1,2,"true","false","true","true","true",0,8286946.08539615,8.0
1,78,"true","true","true","true","true",8,1.2238527357443368E7,8.0
1,30,"true","false","true","true","true",1,6329903.5221086,8.0
1,25,"false","false","false","false","false",2,1.0194360419920491E7,8.0
1,73,"true","true","true","true","true",8,1.2309247094216892E7,8.0
1,3,"true","true","true","true","true",1,9754055.18223227,8.0
1,19,"true","false","true","true","true",2,8838121.775054,8.0
1,57,"true","true","true","true","true",1,1.1100022284754694E7,8.0
1,15,"true","false","true","true","true",1,7315314.471140506,8.0
1,17,"true","true","true","true","true",1,9606150.464778671,8.0
1,69,"true","true","true","true","true",8,1.3005803231495153E7,8.0
1,42,"true","false","true","true","true",0,9567010.718341172,8.0
1,61,"true","true","true","true","true",6,1.1481050946634479E7,8.0
1,80,"true","true","true","true","true",10,1.4165799761414498E7,8.0
1,77,"true","true","true","true","true",2,1.2737019934859954E7,8.0
1,81,"true","true","true","true","true",3,1.3112798599919248E7,8.0
1,50,"true","true","true","true","true",6,9416677.415140562,8.0
1,88,"true","true","true","true","true",10,1.4240745892172188E7,8.0
1,26,"false","false","false","false","false",3,9856739.116783608,8.0
1,31,"true","true","true","true","true",4,1.1282353649943411E7,8.0
1,27,"true","true","true","true","true",4,1.1300393473813234E7,8.0
1,22,"true","false","true","true","true",2,1.0608678688864736E7,8.0
1,14,"false","false","false","false","false",2,9348130.400701644,8.0
1,58,"true","true","true","true","true",6,1.1201366231077192E7,8.0
1,100,"true","true","true","true","true",10,1.4165799761414498E7,8.0
1,86,"true","true","true","true","true",9,1.3513988572643796E7,8.0
1,79,"true","true","true","true","true",7,1.2616601511445671E7,8.0
1,33,"true","true","true","true","true",2,6549420.837713252,8.0
1,82,"true","true","true","true","true",3,1.4165799763747832E7,8.0
1,95,"true","true","true","true","true",10,1.4265059328403892E7,8.0
1,48,"true","true","true","true","true",6,1.1272859837519836E7,8.0
1,43,"true","false","true","true","true",2,6527681.582969112,8.0
1,70,"true","false","true","true","true",7,1.18148909055463E7,8.0
