,Values,,,,,
Row Labels,Average of PanicFlag,Average of PanicPanic,Average of LiquidityPanic,Average of PurePanic,Average of NeighborPanicCount,Average of PanicProportion
1,0.177644711,0,0.177644711,0.114021956,0,5.23952E-10
2,0.179391218,0.00249501,0.179391218,0.117265469,0.02245509,3.49301E-10
3,0.177894212,0.00748503,0.177894212,0.124750499,0.057884232,4.99002E-10
4,0.190618762,0.011976048,0.190618762,0.123003992,0.071856287,2.99401E-10
5,0.176646707,0.016217565,0.176646707,0.114271457,0.10503992,2.24551E-10
6,0.184131737,0.017714571,0.184131737,0.122005988,0.126497006,3.99202E-10
7,0.171656687,0.017215569,0.171656687,0.110528942,0.151946108,5.48902E-10
8,0.183882236,0.023702595,0.183882236,0.116516966,0.181137725,2.49501E-10
9,0.189371257,0.028942116,0.189121756,0.127245509,0.214820359,0.000249501
10,0.174650699,0.028692615,0.174650699,0.113522954,0.22754491,3.49301E-10
11,0.186127745,0.030688623,0.186127745,0.121506986,0.251247505,0.000249501
12,0.19261477,0.036926148,0.19261477,0.124001996,0.290918164,2.99401E-10
13,0.182634731,0.040169661,0.182634731,0.119510978,0.304640719,3.24351E-10
14,0.19011976,0.04491018,0.189870259,0.124750499,0.341317365,0.000249501
15,0.175149701,0.039421158,0.175149701,0.109780439,0.375,3.49301E-10
16,0.191866267,0.04740519,0.191866267,0.123752495,0.390469062,2.74451E-10
17,0.191616766,0.048403194,0.191616766,0.123003992,0.417914172,3.49301E-10
18,0.186876248,0.044161677,0.186876248,0.122754491,0.434630739,9.98004E-11
19,0.189870259,0.052644711,0.189870259,0.127744511,0.473303393,2.49501E-10
20,0.199850299,0.057634731,0.199850299,0.130988024,0.503493014,0.000249501
21,0.193113772,0.050648703,0.193113772,0.129491018,0.518962076,0.000249501
22,0.183383234,0.058383234,0.183383234,0.122005988,0.548153693,3.24351E-10
23,0.2000998,0.064870259,0.2000998,0.131736527,0.581836327,3.99202E-10
24,0.203592814,0.070858283,0.203592814,0.131736527,0.619510978,1.99601E-10
25,0.191866267,0.065868263,0.191616766,0.129241517,0.631986028,0.000499002
