"run","Consumer Total Panics","Consumer Liquidity Panics","Consumer Panic Panics","Consumer Estimated Liquidity Withdrawals","Consumer Estimated Panic Withdrawals","Consumer Estimated Bank Assets - Liquidity","Consumer Estimated Bank Assets - Panics","Consumer People Seen Panic","Consumers Shocked","Consumer Cash","Consumer Pure Panic","Bank Total Assets","Bank Total Liabilities","Bank Short Term Assets","Bank Long Term Assets","tick","DD Initial Withdrawals","Consumer Partial Shock","Consumer Count","Consumer Total Assets","Bank Failures","Consumer Average Panic Withdrawals","Consumer Seen Panic Proportion"
1,0.93,0.93,0.6799999999999997,1.0451311148262674E7,3295600.8400984406,976274.9233760316,4057386.638005326,4.590000000000002,0.8599999999999998,5155723.279188933,0.93,-1.0,534001.4753157594,0.0,-1.0,8.0,8071123.742804106,0.9400000000000002,100,6094676.0176103925,0.0,3064908.781298549,0.100000001
1,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9199999999999998,890847.4246460015,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,890847.4246460015,0.0,1.0E-4,1.0E-7
1,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,51217.058413690334,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,16,51217.058413690334,0.0,1.0E-4,1.0E-7
1,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
3,0.9800000000000001,0.9800000000000001,0.7799999999999999,1.109366693440809E7,2980647.944848663,431827.0609019482,3079671.9790207017,4.599999999999998,0.9299999999999998,5234419.896719357,0.9800000000000001,-1.0,644480.2023070356,0.0,-1.0,8.0,8632325.767792422,0.9800000000000001,100,5533473.992622077,0.0,2712389.6298212823,0.08000000000000006
3,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8899999999999998,904306.213777366,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,904306.213777366,0.0,1.0E-4,1.0E-7
3,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8666666666666666,213441.33939967304,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,15,213441.33939967304,0.0,1.0E-4,1.0E-7
3,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.5,123492.35617169118,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,123492.35617169118,0.0,1.0E-4,1.0E-7
3,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,2,0.0,0.0,1.0E-4,1.0E-7
5,0.95,0.95,0.6699999999999998,1.0994881889623195E7,2907081.713194312,636045.3675430112,3748467.443561382,4.8,0.9299999999999998,5031041.000769909,0.95,-1.0,609548.8003434616,0.0,-1.0,8.0,8391608.270417081,0.95,100,5774191.489997421,0.0,2674515.176146768,0.03999999999999999
5,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.86,903919.9802931696,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,903919.9802931696,0.0,1.0E-4,1.0E-7
5,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8749999999999999,163800.2513178917,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,16,163800.2513178917,0.0,1.0E-4,1.0E-7
5,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.6666666666666666,30004.24084307337,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3,30004.24084307337,0.0,1.0E-4,1.0E-7
5,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
7,0.9399999999999998,0.9399999999999998,0.6999999999999998,1.1089775073526174E7,2858222.9947746303,706104.8680021638,3595254.712060061,4.430000000000001,0.9199999999999998,4712827.371059973,0.9399999999999998,-1.0,636360.0870009573,0.0,-1.0,8.0,8542362.962862708,0.9399999999999998,100,5623436.797551793,0.0,2515236.235413674,0.08000000000000002
7,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9199999999999998,506956.73477487813,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,506956.73477487813,0.0,1.0E-4,1.0E-7
7,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,10,0.0,0.0,1.0E-4,1.0E-7
9,0.9500000000000003,0.9500000000000003,0.6900000000000003,1.0705188367969958E7,3168101.7454446317,578869.1848536518,3700602.5163771645,4.7,0.9099999999999998,5143152.640023451,0.9500000000000003,-1.0,563729.2115554899,0.0,-1.0,8.0,8265347.907524243,0.9500000000000003,100,5900451.852890259,0.0,2882972.5883636144,0.030000000000000013
9,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8899999999999998,854554.4024594943,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,854554.4024594943,0.0,1.0E-4,1.0E-7
9,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9333333333333332,86475.3645791419,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,15,86475.3645791419,0.0,1.0E-4,1.0E-7
9,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3,0.0,0.0,1.0E-4,1.0E-7
11,0.91,0.91,0.6199999999999999,1.0337444991768518E7,3002361.2063671267,1029897.1630500682,3989815.9816505383,4.159999999999999,0.8899999999999996,4852004.25382394,0.91,-1.0,521529.82018459134,0.0,-1.0,8.0,8060019.177336177,0.92,100,6105780.583078317,0.0,2642077.861615072,0.04000000099999999
11,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9199999999999996,670186.9483628883,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,670186.9483628883,0.0,1.0E-4,1.0E-7
