run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Average Panic Withdrawals,Consumer Seen Panic Proportion,Consumer Estimated Bank Assets,Bank Assets After Initial
,0.19727548,0.196385264,0.076267192,3116967.556,3846165.959,0.9385234,0.501984672,646657.89,0.13313314,22126977.59,10782071.7,13490998.35,8635979.236,75,2744993.518,0.491824264,65.20683633,27766085.4,0.000249501,1723008.445,0.000308178,24356944.16,22126977.59
1,0.29,0.29,0,5002429.972,2403319.081,1.08,0.46,2355797.555,0.29,9569616.821,4075954.546,3819615.384,5750001.438,9,3824587.061,0.46,100,1.37E+07,0,1466024.639,0,1.19E+07,9569616.821
1,0.31,0.31,0.17,5110926.568,2039462.222,1.08,0.54,802409.0606,0.17,1.10E+07,5818057.501,7186552.88,3819615.384,21,4614873.441,0.46,100,1.29E+07,0,1325650.445,0,1.11E+07,1.10E+07
1,0.360465116,0.360465116,0.151162791,5155454.327,3929080.272,2,0.604651163,1223650.145,0.255813953,9302643.549,3183621.177,2116090.67,7186552.88,33,4537332.229,0.569767442,86,1.29E+07,0,2923966.714,0,1.18E+07,9302643.549
1,0.376623377,0.363636364,0.207792208,4220674.323,4185787.5,2.168831169,0.493506494,1435596.248,0.337662338,1.15E+07,6126573.038,9404657.447,2116090.67,45,3110889.205,0.649350649,77,1.36E+07,0,3533456.98,0,1.15E+07,1.15E+07
1,0.364864865,0.364864865,0.216216216,3170820.082,4004888.312,1.959459459,0.472972973,854115.1499,0.27027027,1.08E+07,3665902.888,1379051.509,9404657.447,57,2842126.03,0.581081081,74,1.49E+07,0,3138966.515,0,1.38E+07,1.08E+07
1,0.298507463,0.298507463,0.104477612,2663124.45,3274805.486,1.417910448,0.447761194,550344.5777,0.179104478,1.63E+07,8917873.084,1.49E+07,1379051.509,69,2468929.202,0.47761194,67,1.73E+07,0,2248373.916,0,1.45E+07,1.63E+07
1,0.237288136,0.237288136,0.152542373,2521203.196,4533342.581,1.491525424,0.474576271,387252.0963,0.152542373,1.50E+07,4900434.469,130628.3745,1.49E+07,81,2287363.55,0.491525424,59,2.07E+07,0,3227125.227,0,1.91E+07,1.50E+07
1,0.203703704,0.203703704,0.055555556,2321700.738,4220489.715,0.962962963,0.5,301200.0433,0.12962963,2.49E+07,1.32E+07,2.48E+07,130628.3745,93,2167216.866,0.518518519,54,2.51E+07,0,2501030.942,0,2.10E+07,2.49E+07
1,0.12,0.12,0.04,2395331.073,4331391.611,0.58,0.5,111208.7375,0.06,2.28E+07,7419510.16,0,2.28E+07,105,2057078.493,0.5,50,3.12E+07,0,1905812.309,0,2.89E+07,2.28E+07
