"run","Blank","Consumer Shock Probability","Consumer Distribution Deviation","Consumer Initial Endowment","Consumer Income","Bank Assets Visible","Consumer Shock Multiplier","All Consumers Visible","Bank Initial Endowment","Consumer Mean Rate of Consumption","Consumer Short Term Payout","Bank Long Term Asset Return","Bank Short Term Asset Return","randomSeed","Consumer Long Term Payout","Expected Average Withdrawal","Bank Count","Consumer Count","Bank Cost 2","Consumer Group Size"
1,0.0,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666537255,1.73913,42500.0,1,100,5000.0,10
3,0.002,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666534502,1.73913,42500.0,1,100,5000.0,10
5,0.004,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666533098,1.73913,42500.0,1,100,5000.0,10
7,0.006,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666531863,1.73913,42500.0,1,100,5000.0,10
9,0.008,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666530366,1.73913,42500.0,1,100,5000.0,10
11,0.01,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666529108,1.73913,42500.0,1,100,5000.0,10
13,0.012,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666528036,1.73913,42500.0,1,100,5000.0,10
15,0.014,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666526865,1.73913,42500.0,1,100,5000.0,10
17,0.016,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666525479,1.73913,42500.0,1,100,5000.0,10
19,0.018,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666523978,1.73913,42500.0,1,100,5000.0,10
21,0.02,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666522643,1.73913,42500.0,1,100,5000.0,10
23,0.022,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666521509,1.73913,42500.0,1,100,5000.0,10
25,0.024,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666519994,1.73913,42500.0,1,100,5000.0,10
27,0.026,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666518539,1.73913,42500.0,1,100,5000.0,10
29,0.028,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666517319,1.73913,42500.0,1,100,5000.0,10
31,0.03,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666516198,1.73913,42500.0,1,100,5000.0,10
33,0.032,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666515036,1.73913,42500.0,1,100,5000.0,10
35,0.034,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666514012,1.73913,42500.0,1,100,5000.0,10
37,0.036,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666512977,1.73913,42500.0,1,100,5000.0,10
39,0.038,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666511825,1.73913,42500.0,1,100,5000.0,10
41,0.04,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666510778,1.73913,42500.0,1,100,5000.0,10
43,0.042,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666509686,1.73913,42500.0,1,100,5000.0,10
45,0.044,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666508565,1.73913,42500.0,1,100,5000.0,10
47,0.046,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666507683,1.73913,42500.0,1,100,5000.0,10
49,0.048,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666506563,1.73913,42500.0,1,100,5000.0,10
51,0.05,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666505620,1.73913,42500.0,1,100,5000.0,10
53,0.052,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666504562,1.73913,42500.0,1,100,5000.0,10
55,0.054,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666503365,1.73913,42500.0,1,100,5000.0,10
57,0.056,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666502296,1.73913,42500.0,1,100,5000.0,10
59,0.058,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666501171,1.73913,42500.0,1,100,5000.0,10
61,0.06,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666500120,1.73913,42500.0,1,100,5000.0,10
63,0.062,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666499082,1.73913,42500.0,1,100,5000.0,10
65,0.064,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666497960,1.73913,42500.0,1,100,5000.0,10
67,0.066,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666496942,1.73913,42500.0,1,100,5000.0,10
69,0.068,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666496097,1.73913,42500.0,1,100,5000.0,10
71,0.07,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666495148,1.73913,42500.0,1,100,5000.0,10
73,0.072,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666493793,1.73913,42500.0,1,100,5000.0,10
75,0.074,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666492596,1.73913,42500.0,1,100,5000.0,10
77,0.076,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666491656,1.73913,42500.0,1,100,5000.0,10
79,0.078,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666490510,1.73913,42500.0,1,100,5000.0,10
81,0.08,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666489282,1.73913,42500.0,1,100,5000.0,10
83,0.082,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666488219,1.73913,42500.0,1,100,5000.0,10
85,0.084,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666487428,1.73913,42500.0,1,100,5000.0,10
87,0.086,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666486287,1.73913,42500.0,1,100,5000.0,10
89,0.088,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666485152,1.73913,42500.0,1,100,5000.0,10
91,0.09,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666484078,1.73913,42500.0,1,100,5000.0,10
93,0.092,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666482813,1.73913,42500.0,1,100,5000.0,10
95,0.094,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666481099,1.73913,42500.0,1,100,5000.0,10
97,0.096,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666479834,1.73913,42500.0,1,100,5000.0,10
99,0.098,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666478902,1.73913,42500.0,1,100,5000.0,10
101,0.1,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666477921,1.73913,42500.0,1,100,5000.0,10
103,0.102,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666477212,1.73913,42500.0,1,100,5000.0,10
105,0.104,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666476097,1.73913,42500.0,1,100,5000.0,10
107,0.106,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666475501,1.73913,42500.0,1,100,5000.0,10
109,0.108,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666474595,1.73913,42500.0,1,100,5000.0,10
111,0.11,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666473717,1.73913,42500.0,1,100,5000.0,10
113,0.112,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666472959,1.73913,42500.0,1,100,5000.0,10
115,0.114,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666471995,1.73913,42500.0,1,100,5000.0,10
117,0.116,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666471143,1.73913,42500.0,1,100,5000.0,10
119,0.118,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666470373,1.73913,42500.0,1,100,5000.0,10
121,0.12,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666469478,1.73913,42500.0,1,100,5000.0,10
123,0.122,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666468714,1.73913,42500.0,1,100,5000.0,10
125,0.124,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666468076,1.73913,42500.0,1,100,5000.0,10
127,0.126,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666467396,1.73913,42500.0,1,100,5000.0,10
129,0.128,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666466445,1.73913,42500.0,1,100,5000.0,10
131,0.13,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666465365,1.73913,42500.0,1,100,5000.0,10
133,0.132,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666464412,1.73913,42500.0,1,100,5000.0,10
135,0.134,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666463313,1.73913,42500.0,1,100,5000.0,10
137,0.136,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666462093,1.73913,42500.0,1,100,5000.0,10
139,0.138,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666460937,1.73913,42500.0,1,100,5000.0,10
141,0.14,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666459729,1.73913,42500.0,1,100,5000.0,10
143,0.142,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666458753,1.73913,42500.0,1,100,5000.0,10
145,0.144,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666457556,1.73913,42500.0,1,100,5000.0,10
147,0.146,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666456496,1.73913,42500.0,1,100,5000.0,10
149,0.148,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666455463,1.73913,42500.0,1,100,5000.0,10
151,0.15,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666454329,1.73913,42500.0,1,100,5000.0,10
153,0.152,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-666453276,1.73913,42500.0,1,100,5000.0,10
