run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Seen Panic Proportion,Bank Total Assets After Initial Withdrawals,Bank Net Worth
,0,0,0,,,,,,,,,,,,,,,,,,,
,0,0,0,3205102.217,2.48375E-07,0,0.500504799,0,0,28578548.38,30622243.05,15672462.94,12906085.44,75,3084715.389,0.450394432,73.58483183,30622243.05,0,2.48375E-08,28578548.38,-2043694.666
1,0,0,0,4700279.808,0,0,0.52,0,0,1.14E+07,1.32E+07,5669929.819,5750001.438,9,4330070.181,0.52,100,1.32E+07,0,0,1.14E+07,-1775376.194
1,0,0,0,4058774.427,0,0,0.45,0,0,1.19E+07,1.36E+07,6197758.165,5669929.819,21,3812917.072,0.44,100,1.36E+07,0,0,1.19E+07,-1750090.804
1,0,0,0,4012470.946,0,0,0.535353535,0,0,1.23E+07,1.42E+07,6074356.681,6197758.165,33,4545051.146,0.434343434,99,1.42E+07,0,0,1.23E+07,-1919254.252
1,0,0,0,3832446.142,0,0,0.505617978,0,0,1.35E+07,1.53E+07,7435887.533,6074356.681,45,3900306.812,0.348314607,89,1.53E+07,0,0,1.35E+07,-1813871.563
1,0,0,0,3342411.17,0,0,0.48,0,0,1.52E+07,1.74E+07,7766438.003,7435887.533,57,2952509.657,0.426666667,75,1.74E+07,0,0,1.52E+07,-2205852.975
1,0,0,0,2266418.228,0,0,0.436619718,0,0,1.88E+07,2.09E+07,1.10E+07,7766438.003,69,2434641.766,0.352112676,71,2.09E+07,0,0,1.88E+07,-2091881.38
1,0,0,0,2954119.538,0,0,0.538461538,0,0,2.18E+07,2.47E+07,1.08E+07,1.10E+07,81,2891021.631,0.538461538,65,2.47E+07,0,0,2.18E+07,-2865229.227
1,0,0,0,3334138.08,0,0,0.6,0,0,2.72E+07,2.93E+07,1.64E+07,1.08E+07,93,3441557.875,0.538461538,65,2.93E+07,0,0,2.72E+07,-2101544.743
1,0,0,0,3543628.905,0,0,0.639344262,0,0,3.23E+07,3.54E+07,1.59E+07,1.64E+07,105,3410277.61,0.606557377,61,3.54E+07,0,0,3.23E+07,-3089615.177
1,0,0,0,2651876.257,0,0,0.491525424,0,0,4.30E+07,4.42E+07,2.71E+07,1.59E+07,117,2445669.724,0.440677966,59,4.42E+07,0,0,4.30E+07,-1245123.12
1,0,0,0,2459497.963,0,0,0.482142857,0,0,5.34E+07,5.63E+07,2.63E+07,2.71E+07,129,2270996.38,0.446428571,56,5.63E+07,0,0,5.34E+07,-2835932.379
1,0,0,0,2675160.137,0,0,0.537037037,0,0,7.29E+07,7.16E+07,4.66E+07,2.63E+07,141,2471126.784,0.518518519,54,7.16E+07,0,0,7.29E+07,1256795.819
3,0,0,0,4632135.628,0,0,0.49,0,0,1.17E+07,1.35E+07,5954611.132,5750001.438,9,4045388.868,0.49,100,1.35E+07,0,0,1.17E+07,-1775376.194
3,0,0,0,4766271.204,0,0,0.5,0,0,1.19E+07,1.37E+07,5896852.951,5954611.132,21,4131717.663,0.44,100,1.37E+07,0,0,1.19E+07,-1837630.255
3,0,0,0,4078055.736,0,0,0.5,0,0,1.28E+07,1.46E+07,6949739.867,5896852.951,33,3920341.385,0.393617021,94,1.46E+07,0,0,1.28E+07,-1801758.773
3,0,0,0,3747947.112,0,0,0.488095238,0,0,1.39E+07,1.60E+07,6973454.255,6949739.867,45,3457162.127,0.416666667,84,1.60E+07,0,0,1.39E+07,-2086878.307
3,0,0,0,2713132.418,0,0,0.41025641,0,0,1.68E+07,1.88E+07,9856122.505,6973454.255,57,2621614.326,0.320512821,78,1.88E+07,0,0,1.68E+07,-1973990.961
3,0,0,0,3537499.076,0,0,0.605633803,0,0,1.87E+07,2.14E+07,8861009.402,9856122.505,69,3666934.197,0.549295775,71,2.14E+07,0,0,1.87E+07,-2686914.649
3,0,0,0,3183004.072,0,0,0.537313433,0,0,2.35E+07,2.54E+07,1.46E+07,8861009.402,81,3076680.788,0.47761194,67,2.54E+07,0,0,2.35E+07,-1910143.201
3,0,0,0,3254165.132,0,0,0.587301587,0,0,2.73E+07,3.05E+07,1.27E+07,1.46E+07,93,3140027.803,0.492063492,63,3.05E+07,0,0,2.73E+07,-3140199.31
3,0,0,0,2304121.97,0,0,0.438596491,0,0,3.69E+07,3.83E+07,2.42E+07,1.27E+07,105,1989055.875,0.421052632,57,3.83E+07,0,0,3.69E+07,-1360698.773
3,0,0,0,2967240.338,0,0,0.571428571,0,0,4.43E+07,4.77E+07,2.01E+07,2.42E+07,117,2707976.259,0.553571429,56,4.77E+07,0,0,4.43E+07,-3464676.655
3,0,0,0,2621000.538,0,0,0.581818182,0,0,6.12E+07,6.05E+07,4.11E+07,2.01E+07,129,2706523.937,0.545454545,55,6.05E+07,0,0,6.12E+07,676673.9608
3,0,0,0,2237834.78,0,0,0.509433962,0,0,7.51E+07,7.75E+07,3.40E+07,4.11E+07,141,2167771.479,0.509433962,53,7.75E+07,0,0,7.51E+07,-2375926.755
5,0,0,0,4540540.911,0,0,0.47,0,0,1.18E+07,1.35E+07,6011323.402,5750001.438,9,3988676.598,0.47,100,1.35E+07,0,0,1.18E+07,-1775376.194
5,0,0,0,4831166.662,0,0,0.51,0,0,1.17E+07,1.35E+07,5642934.552,6011323.402,21,4366373.624,0.5,100,1.35E+07,0,0,1.17E+07,-1855043.693
5,0,0,0,4050617.495,0,0,0.494949495,0,0,1.26E+07,1.44E+07,7004052.945,5642934.552,33,4222391.554,0.383838384,99,1.44E+07,0,0,1.26E+07,-1717276.02
5,0,0,0,3232359.303,0,0,0.465909091,0,0,1.38E+07,1.59E+07,6823405.749,7004052.945,45,3457823.314,0.340909091,88,1.59E+07,0,0,1.38E+07,-2115128.305
5,0,0,0,3382816.241,0,0,0.506493506,0,0,1.62E+07,1.81E+07,9366075.331,6823405.749,57,3253824.018,0.428571429,77,1.81E+07,0,0,1.62E+07,-1949861.585
5,0,0,0,3337662.499,0,0,0.507042254,0,0,1.85E+07,2.11E+07,9156324.076,9366075.331,69,3019362.117,0.450704225,71,2.11E+07,0,0,1.85E+07,-2565822.51
5,0,0,0,3323942.586,0,0,0.537313433,0,0,2.27E+07,2.48E+07,1.36E+07,9156324.076,81,3068966.322,0.52238806,67,2.48E+07,0,0,2.27E+07,-2101273.952
5,0,0,0,2514388.614,0,0,0.484848485,0,0,2.74E+07,3.03E+07,1.38E+07,1.36E+07,93,2759604.26,0.409090909,66,3.03E+07,0,0,2.74E+07,-2909682.872
5,0,0,0,3103212.545,0,0,0.573770492,0,0,3.52E+07,3.71E+07,2.14E+07,1.38E+07,105,3011300.55,0.508196721,61,3.71E+07,0,0,3.52E+07,-1905396.87
5,0,0,0,2755681.919,0,0,0.561403509,0,0,4.34E+07,4.62E+07,2.20E+07,2.14E+07,117,2810450.122,0.49122807,57,4.62E+07,0,0,4.34E+07,-2775227.509
5,0,0,0,1697995.988,0,0,0.377358491,0,0,5.90E+07,5.94E+07,3.70E+07,2.20E+07,129,1615383.525,0.358490566,53,5.94E+07,0,0,5.90E+07,-407197.552
5,0,0,0,1900257.139,0,0,0.365384615,0,0,7.52E+07,7.68E+07,3.81E+07,3.70E+07,141,1527333.15,0.365384615,52,7.68E+07,0,0,7.52E+07,-1572579.889
7,0,0,0,4465887.888,0,0,0.49,0,0,1.17E+07,1.35E+07,5947434.051,5750001.438,9,4052565.949,0.49,100,1.35E+07,0,0,1.17E+07,-1775376.194
7,0,0,0,4289602.101,0,0,0.47,0,0,1.20E+07,1.38E+07,6049597.393,5947434.051,21,3973658.889,0.42,100,1.38E+07,0,0,1.20E+07,-1835396.664
